펀드코드,약칭,펀드명,섹터
112161,157호,이지스전문투자형사모투자신탁157호,주거
112673,473호(1종),이지스일반사모부동산투자신탁제473호(1종),지분증권
120043,200호(2종),이지스제200호일반사모부동산투자유한회사(2종),주거
112644,451호(2종),이지스일반사모부동산투자신탁제451호(2종),물류
112099,113호,이지스하남미사전문투자형사모부동산투자신탁113호,주거
112509,지엘아이피1-2호(2종),이지스지엘아이피일반사모투자신탁1-2호(2종),물류
112647,ESG일반사모1호,이지스ESG일반사모투자신탁제1호,특별자산
120067,562의1호(4종),이지스일반사모부동산자투자신탁제562의1호(4종),복합(주거)
112767,시니어하우징 1호,IGIS Senior Living Platform I,주거
120064,562의1호(1종),이지스일반사모부동산자투자신탁제562의1호(1종),복합(주거)
120014,524호(2종),이지스일반사모부동산투자신탁제524호(2종),지분증권
112780,502호(보통주),이지스제502호부동산일반사모투자회사(보통주),오피스
112783,K본드알파1호(C),이지스 K본드알파 일반사모투자신탁 제1호(Class C),기타
300072,초단기채1호(C-P),이지스초단기채플러스일반사모투자신탁제1호(Class C-P),기타
112106,97호(C),이지스전문투자형사모부동산투자신탁97호(Class C),오피스
112221,204호(C-p),이지스글로벌부동산투자신탁204호 (파생형) Class C-i,오피스
112727,라이징K리츠(C-e),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)C-e class,지분증권
112465,371호(보통주),이지스제371호전문투자형사모부동산투자회사(보통주), 
112322,291호,이지스일반사모부동산투자신탁제291호,리테일
112046,15호,이지스프랑스오피스사모부동산투자신탁제15호,오피스
112193,163-2호,이지스유럽일반사모부동산자투자신탁163-2호,오피스
112135,132호,이지스글로벌사모일반재간접대체투자신탁 132호,특별자산
112190,186호,이지스전문투자형사모부동산투자신탁186호,주거
112189,183호,이지스전문투자형사모부동산투자신탁183호,주거
112538,408호(B종),이지스제408호일반사모부동산투자신탁(B종),복합(오피스)
112248,240호,이지스전문투자형사모부동산투자신탁240호,오피스
120022,랜드플랫폼,이지스랜드플랫폼일반사모부동산투자신탁, 
112168,162호(C),이지스전문투자형사모투자신탁162호(Class C), 
112743,멀티인컴2호(C-I),이지스 멀티인컴 일반사모투자신탁 제2호 Class C-I,기타
120042,200호(1종),이지스제200호일반사모부동산투자유한회사(1종),주거
P00016,P남대문칠일,남대문칠일피에프브이주식회사,복합(오피스)
112056,64호,이지스사모부동산투자신탁64호,리테일
112105,97호(F),이지스전문투자형사모부동산투자신탁97호(Class F),오피스
120009,518호(1종),이지스용산오피스일반사모부동산투자신탁제518호(1종),오피스
112520,이익참여형메자닌 1호,이지스이익참여형메자닌일반사모부동산자투자신탁제1호,주거
112705,357호(3종),이지스캘리포니아일반사모부동산투자신탁357호(재간접형)(3종),오피스
112054,55호,이지스리테일제55호사모부동산투자유한회사,리테일
112075,85호,이지스일반사모부동산투자신탁85호,리테일
112575,426호(2종),이지스일반사모부동산투자신탁제426호(2종),물류
200041,미국코어인프라1호,이지스미국코어인프라일반사모특별자산투자신탁1호,특별자산
112228,214호(P),이지스전문투자형사모투자신탁214호(Class P), 
112226,214호,이지스전문투자형사모투자신탁214호(운용),호텔
112186,144호(A),이지스전문투자형사모부동산투자신탁144호(Class A), 
120061,501호(3종),이지스일반사모부동산자투자신탁제501호(3종),데이터센터
112113,95호,이지스글로벌전문투자형사모부동산투자신탁95호,오피스
112729,라이징K리츠(C-F),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)C-F class,지분증권
112229,220호,이지스전문투자형사모투자신탁220호,복합(오피스)
300049,그린ON2호(I),이지스그린ON일반사모투자신탁제2호(Class I),기타
112447,리빙플랫폼1호(2종),이지스리빙플랫폼일반사모부동산자투자신탁제1호(2종),지분증권
112804,439호(A종),이지스일반사모부동산투자신탁제439호(A종),데이터센터
120092,RE100솔라1호(1종),이지스RE100솔라일반사모투자신탁제1호(1종),특별자산
112500,인컴앤그로스 2호,이지스인컴앤그로스일반사모부동산자투자신탁제2호,복합(오피스)
120087,경산로지스1호(1종),이지스경산로지스제1호일반사모부동산투자회사(1종),물류
112437,고배당리츠(C-P2e),이지스글로벌고배당리츠플러스부동산투자신탁(리츠-재간접형) Class C-P2e,지분증권
